id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-21T00:02:52Z,264,0,0,0,18,
1,2026-06-21T01:27:43Z,168,0,0,0,12,
1,2026-06-21T02:28:54Z,480,0,0,0,20,
1,2026-06-21T03:57:18Z,168,0,0,0,12,
1,2026-06-21T05:49:05Z,180,0,0,0,16,
1,2026-06-21T07:54:36Z,288,0,0,0,20,
1,2026-06-21T09:28:03Z,192,0,0,0,20,
1,2026-06-21T10:47:43Z,114,0,0,0,16,
1,2026-06-21T11:58:40Z,240,0,0,0,20,
1,2026-06-21T12:55:59Z,240,0,0,0,20,
1,2026-06-21T13:43:58Z,132,0,0,0,18,
1,2026-06-21T14:55:56Z,264,0,0,0,18,
1,2026-06-21T15:43:51Z,156,0,0,0,11,
1,2026-06-21T16:43:24Z,240,0,0,0,17,
1,2026-06-21T17:41:11Z,228,0,0,0,16,
1,2026-06-21T18:44:00Z,480,0,0,0,20,
