city,lead_hours,n,mae,rmse,bias,within_bucket,within_1f
Miami,24,181,2.091,2.881,-1.746,66.851,33.149
Miami,48,181,1.711,2.138,-0.833,66.298,35.912
Miami,72,181,1.818,2.306,-0.877,66.298,36.464
Miami,96,181,2.009,2.575,-0.771,56.906,32.044
Miami,120,181,2.420,3.185,-0.929,51.934,25.414
NYC,24,181,3.530,4.521,-2.540,35.359,17.680
NYC,48,181,3.613,4.695,-2.706,40.331,20.994
NYC,72,181,3.673,4.871,-2.571,37.017,18.232
NYC,96,181,3.928,5.261,-2.441,40.884,19.890
NYC,120,181,4.572,6.557,-2.055,33.702,17.680
Chicago,24,181,3.296,4.692,-2.541,43.094,24.862
Chicago,48,181,3.639,4.868,-1.917,39.227,15.470
Chicago,72,181,3.918,5.096,-2.119,34.254,18.785
Chicago,96,181,4.491,5.771,-1.920,32.044,19.337
Chicago,120,181,5.535,7.616,-2.456,27.624,16.022
Austin,24,181,3.490,4.410,-2.690,27.624,15.470
Austin,48,181,2.804,3.532,-0.986,42.541,24.309
Austin,72,181,3.363,4.252,-0.956,37.569,22.652
Austin,96,181,3.934,5.283,-1.190,35.359,23.204
Austin,120,181,4.617,5.982,-1.011,27.624,16.022
